,shopid,title,areaname,backCateName,avgprice,avgscore,latitude,longitude,comments,historyCouponCount,city,address,isMain,record
0,1000090665,宫野GOYEAHTEA,奥山/钢都花园,奶茶/果汁,12.0,4.8,30.6167,114.3622,30,514,武汉,青山区,1,1
1,1000482065,茶百道,红山动物园/火车站,奶茶/果汁,15.0,3.8,32.1019,118.8102,94,1995,南京,栖霞区,1,1
2,100055055,1点点,上沙/下沙,奶茶/果汁,14.0,4.3,22.5246,114.0288,0,0,深圳,福田区,1,1
3,1000588612,书亦烧仙草,太和镇,奶茶/果汁,13.0,4.4,23.2916,113.3604,344,4457,广州,白云区,1,1
4,1000680931,华言豆腐鲜奶茶,浐灞半岛/世园会,奶茶/果汁,0.0,3.9,34.3439,109.0447,0,0,西安,灞桥区,1,0
5,1000843239,蜜雪冰城,固戍桃源居,奶茶/果汁,7.0,4.7,22.6289,113.8637,182,3307,深圳,宝安区,1,1
6,1000924774,双美豆沙牛乳,众美凤凰城,奶茶/果汁,11.0,4.5,37.997,114.5345,78,3405,石家庄,裕华区,1,1
7,1000936030,巧格格奶茶礼品,东盛/劳动公园,奶茶/果汁,0.0,4.2,43.8786,125.3664,0,0,长春,二道区,1,0
8,1000958821,C0C0茶饮,双井,奶茶/果汁,0.0,3.8,39.8877,116.462,0,0,北京,朝阳区,1,0
9,1001049395,优奈的茶奶茶店,顾乡,奶茶/果汁,0.0,0.0,45.7368,126.5898,0,0,哈尔滨,道里区,1,0
10,100110441,1点点,彭浦新村,奶茶/果汁,20.0,3.9,31.308,121.4476,0,0,上海,静安区,1,1
11,1001117265,1点点,北站/市府,奶茶/果汁,15.0,4.4,41.8125,123.4346,0,0,沈阳,沈河区,1,1
12,1001156450,蜜雪冰城,胜利路,奶茶/果汁,7.0,4.3,36.633,101.7633,206,1574,西宁,城西区,1,1
13,1001186866,冰雪都城,中山南街,奶茶/果汁,0.0,0.0,38.4604,106.2846,0,0,银川,兴庆区,1,0
14,1001187942,多哥儿奶茶,丈八,奶茶/果汁,0.0,3.9,34.1775,108.876,0,0,西安,长安区,1,0
15,1001260253,益禾堂,铝城公园,奶茶/果汁,9.0,4.1,34.8027,113.3089,25,433,郑州,上街区,1,1
16,1001284715,Wedrink茶主张,大湾,奶茶/果汁,0.0,0.0,43.773,87.6399,0,0,乌鲁木齐,天山区,1,0
